fp_id,best_iou,my_tag,notes
1,0.0,,
2,0.0,,
3,0.244,,
4,0.0,,
5,0.046,,
6,0.0,,
7,0.0,,
8,0.0,,
9,0.0,,
10,0.0,,
11,0.0,,
12,0.0,,
13,0.004,,
14,0.0,,
15,0.057,,
16,0.014,,
17,0.0,,
18,0.0,,
19,0.2,,
20,0.0,,
21,0.0,,
22,0.0,,
23,0.0,,
24,0.0,,
25,0.0,,
26,0.33,,
27,0.309,,
28,0.284,,
29,0.0,,
30,0.347,,
31,0.0,,
32,0.0,,
33,0.33,,
34,0.322,,
35,0.165,,
36,0.0,,
37,0.0,,
38,0.0,,
39,0.0,,
40,0.164,,
41,0.201,,
42,0.202,,
43,0.0,,
44,0.0,,
45,0.0,,
46,0.336,,
47,0.355,,
48,0.0,,
49,0.0,,
50,0.295,,
51,0.198,,
52,0.032,,
53,0.044,,
54,0.225,,
55,0.253,,
56,0.144,,
57,0.094,,
58,0.034,,
59,0.0,,
60,0.0,,
61,0.0,,
62,0.152,,
63,0.0,,
64,0.0,,
65,0.0,,
66,0.0,,
67,0.253,,
68,0.284,,
69,0.158,,
70,0.0,,
71,0.0,,
72,0.049,,
73,0.0,,
74,0.354,,
75,0.337,,
76,0.353,,
77,0.105,,
78,0.023,,
79,0.138,,
80,0.339,,
81,0.0,,
82,0.0,,
83,0.0,,
84,0.166,,
85,0.373,,
86,0.239,,
87,0.19,,
88,0.381,,
89,0.0,,
90,0.249,,
91,0.0,,
92,0.216,,
93,0.176,,
94,0.175,,
95,0.149,,
96,0.186,,
97,0.311,,
98,0.297,,
99,0.0,,
100,0.0,,
